id,created_at,text
871984711916191744,2017-06-06 06:58:50,"b'RT @OndaCero_es: \xf0\x9f\x94\x8a@cultrun:""May corre el riesgo de pasar junto a Cameron con la operaci\xc3\xb3n pol\xc3\xadticas m\xc3\xa1s chapuceras de la historia"" https://\xe2\x80\xa6'"
871971587003748352,2017-06-06 06:06:41,"b'Mientras +solidario sea el sistema de pensiones, +inmigrantes ser\xc3\xa1n necesarios para financiarlas... No hay c\xc3\xb3mo evi\xe2\x80\xa6 https://t.co/R9L5TKsXci'"
871960660258824192,2017-06-06 05:23:16,b'RT @JohnCohen1: Ha. https://t.co/K72X2v1zzY'
871951927797579777,2017-06-06 04:48:34,"b""Y eso q'los conservadores la ten\xc3\xadan segura https://t.co/Nkofai5ErO"""
871949511937196036,2017-06-06 04:38:58,b'Modelo trump https://t.co/cEF7DyYwSI'
871948451365478400,2017-06-06 04:34:45,"b'RT @CarlFig: @hburotto Todav\xc3\xada recuerdo un encuentro en Punta de Tralca con todos los grandes: Humberto, el Micco, Yerko, JHolt, y Por supu\xe2\x80\xa6'"
871947842633576453,2017-06-06 04:32:20,"b'RT @socratico14: @tjholt La foto tuya al lado de Ted es realmente hist\xc3\xb3rica, gran tipo Ted, muy amigo del pueblo chileno'"
871932799242170368,2017-06-06 03:32:33,"b'RT @ForeignPolicy: With the U.S. government pulling out of the Paris accords, cities, states, and companies are picking up the slack https:\xe2\x80\xa6'"
871931097499803648,2017-06-06 03:25:47,"b'Fact-Checking Trump: Coal Mines Open, Prospects Bleak https://t.co/0VqkrHHSwl v\xc3\xada @ClimateCentral'"
871930133480865793,2017-06-06 03:21:58,"b'RT @oldpicsarchive: Jackie Kennedy in India, 1962. (Art Rickerby\xe2\x80\x94Time &amp; Life Pictures/Getty Images) https://t.co/5vsRKjBQk6'"
871929398265511936,2017-06-06 03:19:02,b'No.... https://t.co/MVWBLfxqHI'
871928559329312769,2017-06-06 03:15:42,"b'Sea que asumas que en La Araucan\xc3\xada haya o no terrorismo, esa tierra llora el imperio de la ley y el orden. No 1bruto q\'ofrezca ""meter balas""'"
871928072966201351,2017-06-06 03:13:46,b'Me da pena el Cote Ossand\xc3\xb3n... No le deseo mal pero est\xc3\xa1 dando golpes ciegos.. Tiene 1diagn\xc3\xb3stico equivocado y no sabe corregir sus errores'
871927227348373504,2017-06-06 03:10:25,b'No hay nada peor que ver al Cote Ossand\xc3\xb3n tratar de salir de 1papel\xc3\xb3n metiendo m\xc3\xa1s la pata.. se encajona solo. https://t.co/tMlovhw0cm'
871926503826759680,2017-06-06 03:07:32,"b'Ossand\xc3\xb3n y sus declaraciones a lo vaquero en La Araucan\xc3\xada quiere hacer gala al dicho ""d\xc3\xadganle al tonto q\'es forzudo""'"
871925953387270144,2017-06-06 03:05:21,b'RT @MikeBloomberg: Mayor @SadiqKhan and Londoners have my full support. Glad to have the chance to stand with Londoners in person today.'
871925649035984897,2017-06-06 03:04:08,"b""Este tipo trata de reemplazar quedar como incompetente haci\xc3\xa9ndose el bully forzudo... Pa'llorar. https://t.co/bg0ru8vL8r"""
871850464085671939,2017-06-05 22:05:23,b'Si claro... como Rafael Garay... https://t.co/rjjHwMg6mH'
871850084916441088,2017-06-05 22:03:53,b'Por qu\xc3\xa9 no logran entender que este tema exige un redise\xc3\xb1o completo... https://t.co/FmjY6zrRxm'
871814844189741056,2017-06-05 19:43:51,"b'RT @WillFitzgibbon: Mali\'s Catholic Church, placing money in a tax haven, may have at least ""sinned by naivety and lack of discernment,"" sa\xe2\x80\xa6'"
871805245608923136,2017-06-05 19:05:42,b'RT @LawDavF: Second Part - https://t.co/WfkPucL4ie'
871802889450270720,2017-06-05 18:56:20,"b'RT @BrookingsFP: What are Brookings experts saying about the future of the Paris climate accord? Listen, via @policypodcasts: https://t.co/\xe2\x80\xa6'"
871801408642850816,2017-06-05 18:50:27,b'RT @TheEconomist: Our quote of the day is from British economist John Maynard Keynes https://t.co/3CdR6nY1iz'
871795447576354816,2017-06-05 18:26:46,"b'RT @RBergoeingV: \xc2\xbfQui\xc3\xa9n me explica por qu\xc3\xa9 caer\xc3\xa1 la inversi\xc3\xb3n 4 a\xc3\xb1os seguidos? Es primera vez en 5 d\xc3\xa9cadas. No pas\xc3\xb3 durante crisis 73-75, 8\xe2\x80\xa6'"
871723857111023616,2017-06-05 13:42:18,b'RT @LawDavF: Fascinating on Trump v Merkel https://t.co/FXlJPSOZiJ'
871622326307229696,2017-06-05 06:58:51,"b""RT @pixelatedboat: The election broke all the centrists brains &amp; now they think it's a virtue if a candidate completely fucking sucks https\xe2\x80\xa6"""
871620768387522561,2017-06-05 06:52:39,b'EXCLUSIF. Le plan de Macron pour r\xc3\xa9former le travail https://t.co/eo8clZqW2V via @leParisien_pol'
871619421244018689,2017-06-05 06:47:18,b'RT @TheEconomist: The Argentine-American lemon war of 2001-2017 https://t.co/5ZQ31dXy5x'
871619102942560256,2017-06-05 06:46:02,"b'RT @OscarContardo: ""Yo no soy experto en leyes"" dice Manuel Jos\xc3\xa9 Ossand\xc3\xb3n, candidato a la presidencia y parlamentario.'"
871618921874550784,2017-06-05 06:45:19,"b'RT @olivaresalex: Carolina Goic habla de ""este gobierno"". Senadora, es SU gobierno. Voto a favor de todos sus proyectos durante estos a\xc3\xb1os\xe2\x80\xa6'"
